Sample,Genotype,Gene,Cq,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
7_2,KO,Ppp1r9a,23.46,23.24,8.385,,,,,,,3.11,,,,
7_2,KO,Ppp1r9a,23.02,,,,,,,,,,,,,
7_6,KO,Ppp1r9a,22.76,22.62,8.71,,,,,,,3.39,,,,
7_6,KO,Ppp1r9a,22.48,,,,,,,,,,,,,
6_4,WT,Ppp1r9a,22.45,22.29,8.04,7.92125,,,,,,2.895,2.865,,,
6_4,WT,Ppp1r9a,22.13,,,,,,,,,,,,,
6_6,WT,Ppp1r9a,22.35,22.19,7.835,,,,,,,2.78,,,,
6_6,WT,Ppp1r9a,22.03,,,,,,,,,,,,,
7_1,WT,Ppp1r9a,22.55,22.395,7.97,,,,,,,2.935,,,,
7_1,WT,Ppp1r9a,22.24,,,,,,,,,,,,,
7_5,WT,Ppp1r9a,22.79,22.65,7.84,,,,,,,2.85,,,,
7_5,WT,Ppp1r9a,22.51,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Prkca,18.91,18.945,6.58,6.17125,0.70875,0.611850037,-1.634387415,,,0.585,0.7375,0.33125,0.794847502,-1.258102966
5_1,KO,Prkca,18.98,,,,,,,,,,,,,
6_8,KO,Prkca,20.07,20.86,6.995,,,,,,,1.85,,,,
6_8,KO,Prkca,21.65,,,,,,,,,,,,,
7_2,KO,Prkca,20.66,20.36,5.505,,,,,,,0.23,,,,
7_2,KO,Prkca,20.06,,,,,,,,,,,,,
7_6,KO,Prkca,19.62,19.515,5.605,,,,,,,0.285,,,,
7_6,KO,Prkca,19.41,,,,,,,,,,,,,
6_4,WT,Prkca,19.81,19.64,5.39,5.4625,,,,,,0.245,0.40625,,,
6_4,WT,Prkca,19.47,,,,,,,,,,,,,
6_6,WT,Prkca,19.96,19.76,5.405,,,,,,,0.35,,,,
6_6,WT,Prkca,19.56,,,,,,,,,,,,,
7_1,WT,Prkca,19.91,19.745,5.32,,,,,,,0.285,,,,
7_1,WT,Prkca,19.58,,,,,,,,,,,,,
7_5,WT,Prkca,21.03,20.545,5.735,,,,,,,0.745,,,,
7_5,WT,Prkca,20.06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,psd3 (psmd3),18.73,19.53,7.165,6.1825,0.655,0.635075491,-1.574615953,,,1.17,0.74875,0.2775,0.825019429,-1.212092667
5_1,KO,psd3 (psmd3),20.33,,,,,,,,,,,,,
6_8,KO,psd3 (psmd3),19.48,19.405,5.54,,,,,,,0.395,,,,
6_8,KO,psd3 (psmd3),19.33,,,,,,,,,,,,,
7_2,KO,psd3 (psmd3),21.2,21.005,6.15,,,,,,,0.875,,,,
7_2,KO,psd3 (psmd3),20.81,,,,,,,,,,,,,
7_6,KO,psd3 (psmd3),19.93,19.785,5.875,,,,,,,0.555,,,,
7_6,KO,psd3 (psmd3),19.64,,,,,,,,,,,,,
6_4,WT,psd3 (psmd3),19.94,19.93,5.68,5.5275,,,,,,0.535,0.47125,,,
6_4,WT,psd3 (psmd3),19.92,,,,,,,,,,,,,
6_6,WT,psd3 (psmd3),19.83,19.785,5.43,,,,,,,0.375,,,,
6_6,WT,psd3 (psmd3),19.74,,,,,,,,,,,,,
